F2P Version
8>q Platform
6f= PlayerStateData
yhJ UniverseAddress
Iis RealityIndex
oZw GalacticAddress
dZj VoxelX
IyE VoxelY
uXE VoxelZ
vby SolarSystemIndex
jsv PlanetIndex
;l5 Inventory
PMT Inventory_TechOnly
gan Inventory_Cargo
6<E ShipInventory
Kgt WeaponInventory
4eu GraveInventory
BGQ SpawnGrave
;JQ SpaceGrave
NFm GraveUniverseAddress
rnc SpawnStateData
VuQ GameKnowledgeData
fDu DiscoveryManagerData
yRy Waypoints
ETO DiscoveryData-v1

OsQ Store
?fB Record
q9a DM
ksu OWS
D6b PTK
q5u CN
=wD ???[=wD]
bLr ???[bLr]

brV Available
kVv TSrec
8P3 DD
<Dn DT
bEr VP

fgt ReserveStore
xxK ReserveManaged
;FZ Enqueued
:No Slots
hl? ValidSlotIndices
B@N Class
Vn8 Type
elv InventoryType
b2n Id
1o9 Amount
F9q MaxAmount
eVk DamageFactor
3ZH Index
>Qh X
XJ> Y
1o6 InventoryClass
0H2 SubstanceMaxStorageMultiplier
cTY ProductMaxStorageMultiplier
@bB BaseStatValues
MMm SpecialSlots
=Tb Width
N9> Height
iF: IsCool
QL1 BaseStatID
>MX Value
4ia GravePosition
gIh GraveMatrixLookAt
YJU GraveMatrixUp
rj2 ShipLayout
xbM WeaponLayout
oJJ CurrentShip
e6e CurrentWeapon
@EL Seed
9;o Level
93M Filename
QlJ AltId
<d2 ProceduralTexture
bnT Samplers
NNR GenerationSeed
?eS PostMissionIndex
;R7 CurrentMissionID
:JX KnownWords
eZ< KnownProducts
4kj KnownTech
dwb MissionProgress
p0c Mission
tW6 Progress
8?J Data
eZ7 Participants
5L6 UA
5bU BuildingSeed
M?f ParticipantType
9wn Word
D;o Races
k?G CurrentMissionSeed
Mg< PreviousMissionID
rej PreviousMissionSeed
cmA HoloExplorerInteraction
<>B HoloScepticInteraction
:=: HoloNooneInteraction
wMC Position
dcK Energy
wGS Units
7QL Nanites (??)
i8O TimeAlive
Lg8 TotalPlayTime
gUR Stats
:rc GroupId
2Ak Address
eoL FloatValue
>vs IntValue
nwS VisitedSystems
vaP FirstSpawnPosition
seg Hazard
9Lm BoltAmmo
fSZ Health
KCM ShipHealth
kLc Shield
NE3 ShipShield
wHR InteractionProgressTable
vsV AtlasStationAdressData
B9> NewAtlasStationAdressData
:A3 VisitedAtlasStationsData
<dk UsedEntitlements
aHM PlanetPositions
?=a PlanetSeeds
05J TimeLastSpaceBattle
8br WarpsLastSpaceBattle
IRi TimeLastMiniStation
x=M WarpsLastMiniStation
gpU MiniStationUA
JvI AnomalyPositionOverride
5ST GameStartAddress1
EeN GameStartAddress2
E?v SavedInteractionIndicies
SEK SavedRaceIndicies
M2Z GalacticMapRequests
nTB FirstShipPosition
G?: HazardTimeAlive
tSD RevealBlackHoles
bIR CurrentFreighter
>Yh FreighterLayout
8ZP FreighterInventory
0wS FreighterInventory_TechOnly
=o: TerrainEditData
Mes Edits
RB7 FreighterUniverseAddress
4Km NPCWorkers
q08 ResourceElement
BKy InteractionSeed
F?0 PersistentPlayerBases
oHw Forward
CVX UserData
@ZJ Objects
r<7 ObjectID
wJ0 Up
aNu At
b1: Timestamp
NKm Name
B2h RID
3?K Owner
f5Q LID
K7E UID
V?: USN
3I1 TS
=3B Chest1Layout
3Nc Chest1Inventory
@ip Chest2Layout
IDc Chest2Inventory
@Ik Chest3Layout
M=: Chest3Inventory
@1E Chest4Layout
iYp Chest4Inventory
XgV Chest5Layout
<IP Chest5Inventory
nw5 Chest6Layout
qYJ Chest6Inventory
tLo Chest7Layout
@e5 Chest7Inventory
7b? Chest8Layout
5uh Chest8Inventory
QBc Chest9Layout
5Tg Chest9Inventory
wqf Chest10Layout
Bq< Chest10Inventory
v8; ChestMagicLayout
;?C ChestMagicInventory
wFm ChestMagic2Layout
fCh ChestMagic2Inventory
Sjw CurrentFreighterNPC
P;m VehicleOwnership
NTx Resource
pMa InventoryLayout
YTa Location
l?l Direction
5sx PrimaryVehicle
@Cs ShipOwnership
aBE PrimaryShip
@Vn MultiShipEnabled
rBG PlayerWeaponName
vxi PlayerFreighterName
h=c StartGameShipPosition
NQJ VisitedPortal
3fO PortalSeed
K:U LastPortalUA
vrS KnownPortalRunes
DaC OnOtherSideOfPortal
LIR PortalMarkerPosition_Local
qW; PortalMarkerPosition_Offset
h4X BaseVersion
1wj HiredWorker
gNy HasTerminal
mEH PlayerPositionInSystem
l2U PlayerTransformAt
tnP ShipPositionInSystem
l4H ShipTransformAt
jk4 LastKnownPlayerState
NGn FreighterPositionInSystem
uAt FreighterTransformAt
5Sg FreighterTransformUp
S8b GalaxyWaypointType
SSo EventId
