F2P Version
8>q Platform
6f= PlayerStateData
yhJ UniverseAddress
Iis RealityIndex
oZw GalacticAddress
dZj VoxelX
IyE VoxelY
uXE VoxelZ
vby SolarSystemIndex
jsv PlanetIndex
;l5 Inventory
PMT Inventory_TechOnly
gan Inventory_Cargo
6<E ShipInventory
Kgt WeaponInventory
4eu GraveInventory
BGQ SpawnGrave
;JQ SpaceGrave
NFm GraveUniverseAddress
rnc SpawnStateData
VuQ GameKnowledgeData
fDu DiscoveryManagerData
yRy Waypoints
ETO DiscoveryData-v1

OsQ Store
?fB Record
q9a DM
ksu OWS
D6b PTK
q5u CN
=wD ???[=wD]
bLr ???[bLr]
V?r ???[V?r] [Beyond]
tiH ???[tiH]

brV Available
kVv TSrec
8P3 DD
<Dn DT
bEr VP

fgt ReserveStore
xxK ReserveManaged
;FZ Enqueued

:No Slots
hl? ValidSlotIndices
B@N Class
Vn8 Type
elv InventoryType
b2n Id
1o9 Amount
F9q MaxAmount
eVk DamageFactor
3ZH Index
>Qh X
XJ> Y
1o6 InventoryClass
0H2 SubstanceMaxStorageMultiplier
cTY ProductMaxStorageMultiplier
@bB BaseStatValues
MMm SpecialSlots
QA1 InventorySpecialSlotType
=Tb Width
N9> Height
iF: IsCool

QL1 BaseStatID
>MX Value
4ia GravePosition
gIh GraveMatrixLookAt
YJU GraveMatrixUp
rj2 ShipLayout
xbM WeaponLayout
oJJ CurrentShip
e6e CurrentWeapon
@EL Seed
9;o Level
93M Filename
QlJ AltId
<d2 ProceduralTexture
bnT Samplers
NNR GenerationSeed
?eS PostMissionIndex
;R7 CurrentMissionID

:JX KnownWords
9wn Word
D;o Races
MF2 [KnownWords2]
MYl [Word]

eZ< KnownProducts
4kj KnownTech
24< [KnownQuicksilverSpecials]
Ddk [KnownRecipes]

dwb MissionProgress
p0c Mission
tW6 Progress
8?J Data
eZ7 Participants
5L6 UA
5bU BuildingSeed
M?f ParticipantType
k?G CurrentMissionSeed
Mg< PreviousMissionID
rej PreviousMissionSeed
cmA HoloExplorerInteraction
<>B HoloScepticInteraction
:=: HoloNooneInteraction
wMC Position
dcK Energy
wGS Units
7QL Nanites
i8O TimeAlive
Lg8 TotalPlayTime
gUR Stats
:rc GroupId
2Ak Address
eoL FloatValue
>vs IntValue
nwS VisitedSystems
vaP FirstSpawnPosition
seg Hazard
9Lm BoltAmmo
fSZ Health
KCM ShipHealth
kLc Shield
NE3 ShipShield
wHR InteractionProgressTable
vsV AtlasStationAdressData
B9> NewAtlasStationAdressData
:A3 VisitedAtlasStationsData
<dk UsedEntitlements
aHM PlanetPositions
?=a PlanetSeeds
05J TimeLastSpaceBattle
